Model,Parameters,Accuracy,PrecisionRise,PrecisionFall,PrecisionStay,RecallRise,RecalFall,RecalStay,F1Rise,F1Fall,F1Stay
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 6 min_samples_split: 2 min_samples_leaf: 2,0.3977528089887641,0.3764328537075901,0.3992982391114415,0.4119945891901168,0.35,0.3017857142857143,0.5223076923076924,0.36243397582864856,0.34321646464758426,0.4605629412273114
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 6 min_samples_split: 2 min_samples_leaf: 3,0.3952247191011236,0.3702181730173496,0.4087312979262438,0.4036745394624567,0.3298245614035088,0.3151785714285714,0.5215384615384615,0.3485462151723187,0.3558088911180948,0.4549666280191112
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 6 min_samples_split: 2 min_samples_leaf: 4,0.39831460674157293,0.378131833013361,0.4038776373132988,0.4091407102350543,0.3508771929824562,0.3044642857142857,0.5207692307692307,0.3639181788682734,0.34649174481233713,0.458058959662303
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 6 min_samples_split: 2 min_samples_leaf: 5,0.3921348314606742,0.3730429692332104,0.3892335870258187,0.4061052520060141,0.3429824561403509,0.3089285714285714,0.5069230769230769,0.3572813198527133,0.34418676836097195,0.4507581810317694
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 6 min_samples_split: 3 min_samples_leaf: 1,0.3865168539325842,0.36943047318680255,0.3888688219222912,0.39729642420587774,0.3491228070175439,0.29821428571428565,0.4953846153846154,0.3587184317743189,0.33714324965848497,0.4405687591503106
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 6 min_samples_split: 3 min_samples_leaf: 2,0.3994382022471911,0.38997700823011294,0.3974146083648575,0.4070119648657623,0.35175438596491226,0.3080357142857143,0.52,0.36974963786065584,0.3465447120852839,0.4565391711908298
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 6 min_samples_split: 3 min_samples_leaf: 3,0.3963483146067416,0.3756643696266657,0.4059778505931259,0.404611863402062,0.3473684210526316,0.32053571428571426,0.5046153846153846,0.3608281758599928,0.3578196315172405,0.4489439615702901
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 6 min_samples_split: 3 min_samples_leaf: 4,0.3960674157303371,0.3751590696350231,0.3993781062150453,0.4081252382928511,0.3385964912280702,0.31875000000000003,0.513076923076923,0.3558221472123472,0.35428840579112897,0.4545271292879056
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 6 min_samples_split: 3 min_samples_leaf: 5,0.3955056179775281,0.3689150002855711,0.413341439170178,0.40349734783322655,0.3368421052631579,0.3044642857142857,0.5253846153846153,0.3518348167258088,0.35024566440467997,0.4561912373992231
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 6 min_samples_split: 4 min_samples_leaf: 1,0.3912921348314607,0.3683715436283461,0.40338752976823866,0.4005443508906691,0.3447368421052631,0.3053571428571428,0.5061538461538462,0.35588964461630745,0.34716434801925544,0.4470665504143469
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 6 min_samples_split: 4 min_samples_leaf: 2,0.3957865168539326,0.3681245877467157,0.4159529860267629,0.4019776584331187,0.32192982456140345,0.3267857142857143,0.5199999999999999,0.343299274065526,0.3656280764004871,0.4533428942540897
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 6 min_samples_split: 4 min_samples_leaf: 3,0.3904494382022473,0.3738514658274754,0.39031885728300864,0.4012851381524747,0.3412280701754385,0.3017857142857143,0.51,0.3566215267523061,0.3400908230522697,0.4490453309808916
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 6 min_samples_split: 4 min_samples_leaf: 4,0.3915730337078652,0.3671744548778543,0.3991797843155129,0.40233219399666587,0.33157894736842103,0.3053571428571428,0.5184615384615384,0.3481959875489609,0.345760630119053,0.4530038635138236
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 6 min_samples_split: 4 min_samples_leaf: 5,0.38623595505617975,0.3710837902826923,0.39168596625074537,0.3934125938899944,0.3412280701754386,0.30267857142857146,0.4976923076923077,0.3554587378586333,0.3409766428479025,0.4393509218526467
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 6 min_samples_split: 5 min_samples_leaf: 1,0.3935393258426967,0.3725288486206646,0.39699717454822,0.405581013803032,0.3412280701754386,0.3107142857142857,0.5107692307692308,0.35601853269212064,0.3483464111313787,0.452056289528567
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 6 min_samples_split: 5 min_samples_leaf: 2,0.3969101123595506,0.3709111012952277,0.4058277351639735,0.40851612279636,0.3412280701754385,0.3044642857142857,0.5253846153846153,0.3553015246317567,0.34781739141607165,0.4595251128069258
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 6 min_samples_split: 5 min_samples_leaf: 3,0.401123595505618,0.3921131500417215,0.41181348722455935,0.40130710283800425,0.3508771929824561,0.32053571428571426,0.5146153846153846,0.3702255274592165,0.3603422173735854,0.4508860005099128
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 6 min_samples_split: 5 min_samples_leaf: 4,0.3985955056179775,0.37253118062130064,0.41630803887861295,0.4066123344485212,0.3403508771929825,0.3321428571428572,0.5069230769230769,0.35546716244550564,0.3691906660568961,0.451008750965353
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 6 min_samples_split: 5 min_samples_leaf: 5,0.3887640449438202,0.3606749547854645,0.39336872784641547,0.404654520022339,0.3307017543859649,0.3116071428571429,0.5061538461538462,0.3448988685342171,0.3474785760253102,0.4496632508607589
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 7 min_samples_split: 2 min_samples_leaf: 1,0.3918539325842697,0.3808258259714141,0.38073824902189096,0.4049920734783453,0.3403508771929825,0.29910714285714285,0.5169230769230768,0.359030378111722,0.3347133994098125,0.4540718742475659
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 7 min_samples_split: 2 min_samples_leaf: 2,0.3949438202247191,0.3793364114485214,0.39452948020120093,0.4053693644328607,0.34912280701754383,0.3017857142857143,0.5153846153846153,0.3635148879958364,0.3416493221301038,0.453733127776269
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 7 min_samples_split: 2 min_samples_leaf: 3,0.397752808988764,0.3735420617768816,0.4063292565087241,0.4083444331285387,0.34298245614035083,0.31785714285714284,0.5146153846153847,0.3573983693988693,0.3564196267852403,0.455191625793443
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 7 min_samples_split: 2 min_samples_leaf: 4,0.3887640449438202,0.3691093991561304,0.3960868176877718,0.3971629538940465,0.3350877192982456,0.3196428571428571,0.4953846153846154,0.3511191157813802,0.35353690069207,0.4405757433747684
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 7 min_samples_split: 2 min_samples_leaf: 5,0.3955056179775281,0.3693907057366472,0.4155741012004682,0.4018280508073753,0.33421052631578946,0.31785714285714284,0.5161538461538461,0.35030823552027235,0.35982658409964724,0.4515757287617699
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 7 min_samples_split: 3 min_samples_leaf: 1,0.4019662921348314,0.3797349998323646,0.4097478181596773,0.4124040079411268,0.3508771929824562,0.3116071428571429,0.5246153846153845,0.3646252818058354,0.3538072482183753,0.4616473837840186
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 7 min_samples_split: 3 min_samples_leaf: 2,0.3969101123595506,0.372207862886952,0.4001326512421304,0.4110966735207373,0.3359649122807017,0.30267857142857146,0.5315384615384615,0.3529987954712456,0.34413419924703803,0.4634018962845422
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 7 min_samples_split: 3 min_samples_leaf: 3,0.3907303370786517,0.378333194144125,0.3933922363908652,0.3971611573104472,0.3359649122807017,0.30267857142857146,0.5146153846153847,0.3555974179302572,0.34176404085695833,0.44819266328656704
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 7 min_samples_split: 3 min_samples_leaf: 4,0.4008426966292135,0.3831898738546431,0.4036634107614748,0.4106710322038887,0.35,0.30267857142857146,0.53,0.3655973830584348,0.34577885906070016,0.4626285834784244
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 7 min_samples_split: 3 min_samples_leaf: 5,0.3957865168539326,0.3812461031459508,0.39885397104653664,0.4028871665825718,0.3350877192982457,0.3169642857142857,0.5169230769230768,0.3563650633059004,0.3530344631535613,0.4526735911689731
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 7 min_samples_split: 4 min_samples_leaf: 1,0.39606741573033705,0.3660111726457089,0.4012263723470103,0.4118662967940671,0.32631578947368417,0.31785714285714284,0.5246153846153846,0.34486572007727306,0.3545531654061257,0.4612467033565955
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 7 min_samples_split: 4 min_samples_leaf: 2,0.3949438202247191,0.3678364695738641,0.4081518676937913,0.40543844126078055,0.34298245614035083,0.3071428571428571,0.5161538461538462,0.3548632047403887,0.3502565335004913,0.4540941145440206
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 7 min_samples_split: 4 min_samples_leaf: 3,0.3932584269662921,0.3720085133219272,0.3938991048037981,0.407189259617516,0.3464912280701754,0.2964285714285714,0.5176923076923077,0.3586632932216799,0.33796239481908696,0.4556398749988816
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 7 min_samples_split: 4 min_samples_leaf: 4,0.396629213483146,0.3736577789161207,0.4068455603416459,0.4060482310899157,0.34298245614035083,0.30625,0.5215384615384615,0.3574289301876544,0.3491025323771335,0.4565398411826439
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 7 min_samples_split: 4 min_samples_leaf: 5,0.3910112359550562,0.3660628373397302,0.3905436414779787,0.40702103022249664,0.33157894736842103,0.3035714285714285,0.5184615384615384,0.34770111337965404,0.3414475423046558,0.455974624438118
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 7 min_samples_split: 5 min_samples_leaf: 1,0.3935393258426966,0.3658865791085737,0.4173381149972736,0.39888540557967495,0.3368421052631579,0.3160714285714286,0.51,0.35065336016907994,0.3594901479143171,0.4475315633702916
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 7 min_samples_split: 5 min_samples_leaf: 2,0.39691011235955054,0.3807588276444401,0.40542130410558697,0.4028329102550286,0.3447368421052631,0.32767857142857143,0.5023076923076923,0.3614800616894793,0.3619828141415981,0.4469696840747559
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 7 min_samples_split: 5 min_samples_leaf: 3,0.3946629213483146,0.3732123149536717,0.4114558701219894,0.3998294084248172,0.34824561403508764,0.3125,0.5061538461538462,0.3600642478045242,0.3549702473258426,0.4466484209492313
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 7 min_samples_split: 5 min_samples_leaf: 4,0.3932584269662921,0.3615595236540533,0.4058005059075456,0.4065589300426127,0.3298245614035088,0.3205357142857143,0.5115384615384615,0.34482818047838704,0.3579826820621061,0.4530156390318035
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 7 min_samples_split: 5 min_samples_leaf: 5,0.3952247191011236,0.3754994496225942,0.4130658180852443,0.3991960062695327,0.35175438596491226,0.31875,0.4992307692307693,0.3631782534174841,0.3595359761526556,0.4435206177824177
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 2 min_samples_leaf: 1,0.3884831460674157,0.3732194184542865,0.3896395091553714,0.3970441013659397,0.33947368421052626,0.3008928571428572,0.5069230769230769,0.3553130698914543,0.33937186937236496,0.4451429811775081
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 2 min_samples_leaf: 2,0.3862359550561797,0.36851941277805456,0.3994007485362098,0.3914195368977649,0.3447368421052631,0.3035714285714285,0.4938461538461539,0.3560578790103362,0.34462349961136274,0.4365376561548796
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 2 min_samples_leaf: 3,0.3887640449438202,0.3686989820830822,0.3984382985123812,0.3960874161069327,0.3271929824561404,0.3071428571428571,0.5130769230769231,0.3466743328681488,0.3466112000031609,0.4469745808403773
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 2 min_samples_leaf: 4,0.3873595505617977,0.3545195867600782,0.4036947003152858,0.3993884963176781,0.32105263157894737,0.3151785714285714,0.5076923076923077,0.3366617032125595,0.3537123616699987,0.4469655348325823
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 2 min_samples_leaf: 5,0.3820224719101123,0.3576707095672327,0.3847953602386057,0.3962975109272905,0.32456140350877194,0.29553571428571435,0.5069230769230769,0.3400937586620408,0.33404305359134,0.4447381080546901
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 3 min_samples_leaf: 1,0.3963483146067415,0.3695813250601045,0.3973385131373936,0.4131430248032776,0.3385964912280702,0.30625,0.5246153846153845,0.35330600837868464,0.3456798618675841,0.4621537858247083
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 3 min_samples_leaf: 2,0.3898876404494381,0.3625491038304523,0.4033706655046496,0.40054053104403575,0.33421052631578946,0.3071428571428572,0.51,0.34756316805137616,0.3485734101653527,0.4485027993384355
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 3 min_samples_leaf: 3,0.39578651685393257,0.3696250778912313,0.4057855543116593,0.40816827530476907,0.34385964912280703,0.3169642857142857,0.5092307692307692,0.35610483278121585,0.3555298520065929,0.4530172994331349
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 3 min_samples_leaf: 4,0.3896067415730337,0.3736819035646696,0.3878788096263154,0.4009279414029742,0.33859649122807023,0.3116071428571429,0.5015384615384615,0.35480044340349626,0.34531780311481153,0.4454259431070625
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 3 min_samples_leaf: 5,0.397752808988764,0.3761473703598508,0.4112521076508788,0.4045552255087324,0.3421052631578948,0.3125000000000001,0.52,0.35809019077211424,0.3546646757141619,0.4548652905934842
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 4 min_samples_leaf: 1,0.3926966292134832,0.3665899523777224,0.40064614945376004,0.4053978622472775,0.33859649122807023,0.3053571428571428,0.5153846153846153,0.3518423162747125,0.34644987852968345,0.4537564179419666
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 4 min_samples_leaf: 2,0.39466292134831454,0.3765683921186989,0.4047028675213812,0.4011327674805556,0.3456140350877194,0.3169642857142857,0.5046153846153846,0.36036181451417904,0.3550949821995421,0.4467555186373353
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 4 min_samples_leaf: 3,0.3907303370786517,0.36299885111945895,0.3937546711820096,0.40673510983756334,0.32982456140350874,0.3035714285714286,0.5192307692307692,0.3455293229570515,0.3425825495063648,0.4560847767087202
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 4 min_samples_leaf: 4,0.39101123595505616,0.372321842851905,0.3892195644540681,0.4042257599827906,0.3438596491228071,0.29821428571428577,0.5123076923076922,0.3574255049613303,0.33734705741244364,0.4517429851080334
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 4 min_samples_leaf: 5,0.39325842696629215,0.3637685872280289,0.400232868184128,0.4077425271928055,0.3324561403508772,0.3089285714285714,0.5192307692307692,0.347318479836132,0.34795464727054665,0.4564330165628617
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 5 min_samples_leaf: 1,0.3963483146067416,0.3841045831397637,0.3913794319664873,0.4071803447753627,0.3587719298245614,0.30625,0.5069230769230769,0.3709356976444206,0.3434797550523778,0.4515383109123611
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 5 min_samples_leaf: 2,0.3929775280898876,0.371271021746993,0.4018551706476976,0.40196664110389096,0.3350877192982456,0.3178571428571429,0.5084615384615384,0.35208422584983395,0.3545359693123807,0.4488656416694923
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 5 min_samples_leaf: 3,0.398876404494382,0.37756083809143387,0.39163428309522397,0.4168521376473926,0.3464912280701754,0.3098214285714286,0.5215384615384615,0.36122257520882456,0.3457476735140382,0.4631761789743651
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 5 min_samples_leaf: 4,0.39578651685393257,0.36980580397004104,0.4055543515319621,0.4071947123895671,0.3421052631578947,0.3098214285714286,0.5169230769230768,0.35529416727203994,0.3510520937585743,0.45540778083265104
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 5 min_samples_leaf: 5,0.3921348314606742,0.3594713316978565,0.4053191746495725,0.40629520495570254,0.3298245614035088,0.31339285714285714,0.5146153846153846,0.3436546308437395,0.35333517803345377,0.4539496151383352
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 9 min_samples_split: 2 min_samples_leaf: 1,0.4005617977528089,0.3852516094370185,0.408292375727669,0.4068504224444179,0.34385964912280703,0.31607142857142856,0.523076923076923,0.3630711984855913,0.35596743657429625,0.4576284969155298
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 9 min_samples_split: 2 min_samples_leaf: 2,0.3921348314606742,0.380491765132901,0.3906990010670615,0.3997792960726903,0.35000000000000003,0.29732142857142857,0.5107692307692308,0.3645044190360225,0.3374465757133573,0.4484371944762274
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 9 min_samples_split: 2 min_samples_leaf: 3,0.3943820224719101,0.3638807595054562,0.4025653910959175,0.409925615026759,0.3359649122807017,0.3142857142857142,0.5146153846153846,0.3492245327046588,0.3524744630979906,0.45621267854134395
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 9 min_samples_split: 2 min_samples_leaf: 4,0.3887640449438202,0.3625377406188867,0.4005789948099716,0.3992593457800827,0.3315789473684211,0.3151785714285715,0.5023076923076923,0.3462277333091138,0.3526010415534083,0.444862636093974
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 9 min_samples_split: 2 min_samples_leaf: 5,0.39943820224719107,0.3728680327403344,0.4118696947181836,0.4102774995066125,0.34298245614035083,0.3107142857142857,0.5253846153846153,0.3571825550023843,0.3536431800885744,0.4606611479158701
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 9 min_samples_split: 3 min_samples_leaf: 1,0.3946629213483146,0.3685407368753519,0.4053085573861544,0.4053073007059057,0.3359649122807017,0.3160714285714286,0.5138461538461538,0.3514324769860734,0.35494599482421274,0.4531166540599864
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 9 min_samples_split: 3 min_samples_leaf: 2,0.397752808988764,0.3858000052970417,0.3955820164697289,0.4068610231302478,0.3614035087719298,0.2946428571428571,0.5184615384615384,0.3730750042615323,0.3373881299744718,0.4557731113555853
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 9 min_samples_split: 3 min_samples_leaf: 3,0.3904494382022472,0.35748807761488777,0.3948945835241845,0.4096184064287973,0.3298245614035088,0.3116071428571429,0.5115384615384615,0.3429151398567718,0.3481591422233837,0.4548706394415379
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 9 min_samples_split: 3 min_samples_leaf: 4,0.402247191011236,0.3755965939056195,0.4193550676694728,0.4098545536582385,0.3438596491228071,0.3214285714285715,0.5230769230769231,0.3589075375294607,0.3634622381445688,0.4594718472685507
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 9 min_samples_split: 3 min_samples_leaf: 5,0.39550561797752815,0.37226076115808,0.4093904588604519,0.4034595782140021,0.34210526315789475,0.3107142857142858,0.5153846153846153,0.3562968705568597,0.3530242989545088,0.4525134790386095
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 9 min_samples_split: 4 min_samples_leaf: 1,0.397752808988764,0.3805107718037399,0.3947786220421478,0.41058382698696383,0.35,0.3107142857142857,0.5146153846153846,0.3643948425531258,0.34744926749003296,0.4566695320674814
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 9 min_samples_split: 4 min_samples_leaf: 2,0.3938202247191011,0.3639648207301833,0.4122640448817657,0.40293366294121297,0.3342105263157895,0.31428571428571433,0.5146153846153846,0.3482262719648144,0.3563101154104879,0.4517079491310228
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 9 min_samples_split: 4 min_samples_leaf: 3,0.3882022471910113,0.3712674300021529,0.3877391961086345,0.3991797019047107,0.3394736842105263,0.30089285714285713,0.5061538461538462,0.35450370163117895,0.33872492855830905,0.4462343633614993
